comments
"
শুভ কামনা রইলো"
"
শুভ কামনা রইলো"
"
শুভ কামনা রইলো"
"
শুভকামনা রহিল"
"
Shubhechha o shubho kamona janai"
"
সবাই জয়ের করুন।
https://facebook.com/groups/623650078640872/"
"
শুভ কামনা রহিল"
"
Egulor jonno BNP unnoti hoy na"
"
aNTv"
"
আন্তরিক শুভকামনা রইলো শিল্পী র জন্য"
"
আমি অনেক অসুস্থ শিখা দিদি দোয়া করবেন
সুস্থ হয়ে আবার আপনাদের মধ্যে ফিরে আসতে পারি মতো।।🥰"
"
খুব ভালো লাগছে অনুষ্ঠান টি শিল্পী কে অসংখ্য ধন্যবাদ এত সুন্দর কন্টের অধিকার ই মন প্রাণ ভরে গেল"
"
ওয়াও খুব সুন্দর গান
অসাধারণ পরিবেশনা"
"
ওয়াও ওয়াও অসাধারণ গান শিল্পী কে জানাই আন্তরিক শুভেচ্ছা"
"
Beautiful singing"
"
অসাধারণ করে গায়ছেন"
"
Impressive words"
"
চমৎকার গান শুনতে খুবই ভালো লাগছে ধন্যবাদ শিল্পী কে"
"
Admired song"
"
শুভ সন্ধ্যা আপু এবং আজকের অতিথিকে"
"
Wonderful song"
"
চমৎকার আয়োজন
শুভ কামনা অহর্নিশ"
"
গুণী শিল্পীর জন্য অনেক শুভ কামনা"
"
ওয়াউ অসাধারণ চমৎকার কণ্টে গান গেয়েছেন"
"
হায় হায় রে ধুপশিখা মনে পড়ে সুনছড়া বাগানে সিতারাম গাইত"
"
আমি আছি সিলেটের গোলাপগঞ্জ থেকে"
"
ওয়াও ওয়াও খুব সুন্দর লাগছে গো অনেক শুভকামনা রইলো শিল্পী র জন্য"
"
শিল্পীর প্রতি রইলো আন্তরিক শুভেচ্ছা ও অভিনন্দন"
"
বাহ বাহ অসাধারণ গান টি ধন্যবাদ জানাই শিল্পী কে"
"
Apa apnar jonno shilpi apar jonno onek shubhokamona roilo shundor poribeshona"
"
আমার অনুরুধ ছিল দিদির কাছে এই গান আমি ভাবছিলাম কি এই রংে দিন যাবে রে সুজন নাইয়া"
"
ওয়াও ওয়াও ধুপশিখা কি সুন্দর অনুষ্ঠান অসাধারণ"
"
আসসালামুয়ালাইকুম শিখা আপু সুন্দর আয়োজন এর জন্য ANTv কে ধন্যবাদ"
"
বাহ বাহ আমার খুব ভালো লাগছে আমার প্রিয় গান,আন্তরিক শুভেচছা রইলো দিদি।"
"
অসাধারণ কন্ঠ"
"
অসাধারণ"
"
সবাইকে অনেক শুভেচ্ছা ও শুভকামনা জানাচ্ছি শিখা আপু"
"
খুব সুন্দর"
"
সুন্দর পরিবেশ না"
